Ticker,Date,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
BRITANNIA.NS,2026-07-22,FMCG,5478.5,5529.0,5443.5,5485.5,156504,0.0006,7.0,0.13,5338.85,5277.93,5718.2475,5357.00202615152,5344.1126113506625,46.766710619099285,28.739671854823168,18.027038764276117,14.175052747206959,62.88948657015528,85.17887563884156,91.75306740301814,-14.821124361158432,5547.682492682504,5338.85,5130.017507317497,7.8231264291936835,90.71223332604761,-3223922,226977.85,1,Weak Buy,Neutral
CIPLA.NS,2026-07-22,Pharma,1423.0,1423.0,1395.699951171875,1415.0999755859375,1722217,-0.0121,-7.9,-0.56,1442.3699951171875,1411.4102563476563,1398.2471685791015,1429.746328010857,1425.421063128761,6.528018742953918,11.982785281091868,-5.4547665381379495,24.394751002476944,46.8700030924361,22.479737471179824,35.74109863822982,-77.52026252882018,1471.6167652280892,1442.3699951171875,1413.1232250062858,4.055376943490218,28.69776873118466,-7371087,1223065.85,1,Weak Buy,Neutral
COALINDIA.NS,2026-07-22,Mining,431.29998779296875,431.70001220703125,427.3500061035156,428.3999938964844,5623606,-0.0066,-2.9,-0.67,432.4499984741211,447.85099853515624,422.2606103515625,433.7885590184719,436.163994991491,-5.5131601649119375,-6.178898973116008,0.6657388082040709,13.311516057586816,38.22913019491202,18.809436616443453,24.920557415674605,-81.19056338355655,441.932774666343,432.4499984741211,422.96722228189924,4.385605839140429,7.30007480869885,265670734,5468195.05,1,Weak Buy,Neutral
DIVISLAB.NS,2026-07-22,Pharma,7330.0,7398.0,7219.5,7386.5,371119,0.0077,56.5,0.77,6928.975,6805.78,6454.87,7027.56265230693,6968.044060831154,177.39786066087618,124.58741194558803,52.810448715288146,36.853391377494354,73.99324744897889,93.09428950863214,89.22670251447853,-6.905710491367862,7500.204680163751,6928.975,6357.74531983625,16.488143777795425,147.9739077238509,9300266,415855.65,1,Weak Buy,Overbought
DRREDDY.NS,2026-07-22,Pharma,1191.0,1202.300048828125,1169.0,1182.800048828125,2527528,-0.0192,-8.2,-0.69,1287.1508666992188,1287.5820068359376,1258.3592645263673,1258.2728218268924,1265.7780603185633,-26.536551165112087,-13.675718924303837,-12.86083224080825,29.104036684059533,29.3800973160279,6.489922128451857,7.09575828111683,-93.51007787154815,1413.5103893130781,1287.1508666992188,1160.7913440853595,19.6339878848696,30.11962042853562,-20622626,2675303.25,-1,Weak Sell,Oversold
EICHERMOT.NS,2026-07-22,Auto,7691.5,7740.0,7585.5,7632.0,409793,-0.0075,-59.5,-0.77,7421.2,7320.15,7220.7825,7454.933816867266,7432.238520557862,62.87758014751944,37.3870887635359,25.49049138398354,11.903576123133687,59.92931470159426,82.0,90.4050519079014,-18.0,7741.928608016246,7421.2,7100.471391983754,8.643578074064727,153.59906967377492,13416497,718636.35,3,Strong Buy,Neutral
GRASIM.NS,2026-07-22,Cement,3163.10009765625,3177.10009765625,3146.60009765625,3166.300048828125,396628,-0.0042,3.2,0.1,3144.2150024414063,3116.3540087890624,2871.164501953125,3139.8209023909067,3132.9820876541826,10.735819696980798,14.08342959747644,-3.3476099004956428,12.76994971108814,54.600373153366846,57.15056388608871,55.53766066028225,-42.84943611391129,3228.0125188017805,3144.2150024414063,3060.417486081032,5.330266301465227,57.357197903548965,9121909,609924.6,1,Weak Buy,Neutral
HCLTECH.NS,2026-07-22,IT,1243.800048828125,1243.800048828125,1227.699951171875,1237.300048828125,2377449,-0.0018,-6.5,-0.52,1142.5724517822266,1142.2137536621094,1376.9773318481446,1167.1323443521555,1160.9956745905533,24.874935548603162,11.16388535992331,13.711050188679852,21.739611980447116,64.39476426737573,95.3561278765306,97.70275324418844,-4.643872123469385,1260.7591409222034,1142.5724517822266,1024.3857626422498,20.687824033499993,35.86357740334863,-4481612,4752957.95,1,Weak Buy,Neutral
HDFCBANK.NS,2026-07-22,Banking,760.25,761.3499755859375,750.3499755859375,753.1500244140625,23383046,-0.0109,-7.1,-0.93,802.8700012207031,773.7066442871094,867.5709384155274,793.3388923653031,791.4617361460377,0.7745608714533319,9.119707467231429,-8.345146595778097,27.081875945969934,36.29757493668506,3.0221781870356486,3.035492815540991,-96.97782181296435,842.7999204769325,802.8700012207031,762.9400819644737,9.946795669415707,16.255799886356296,-1210726148,33749497.55,-2,Sell,Neutral
HDFCLIFE.NS,2026-07-22,Insurance,560.0,561.9000244140625,550.2000122070312,553.0999755859375,1765851,-0.0141,-6.9,-1.23,567.9125030517578,580.0288671875,671.726414489746,567.1860715764687,569.5829214326794,-5.791123025036654,-5.431234260448808,-0.35988876458784613,10.58828250595288,40.37890058323935,7.671863268288351,23.863616057053324,-92.32813673171165,587.197085236691,567.9125030517578,548.6279208668245,6.791392012433192,13.580888080752894,-85862148,3802598.65,-3,Strong Sell,Neutral
