Date,Ticker,Strategy_Equity,Close,BuyHold_Equity
2025-09-09,GRASIM.NS,100000.0,2795.89990234375,102564.82
2025-09-10,GRASIM.NS,100000.0,2785.800048828125,102194.31
2025-09-11,GRASIM.NS,100000.0,2799.0,102678.54
2025-09-12,GRASIM.NS,100000.0,2802.0,102788.59
2025-09-15,GRASIM.NS,100000.0,2802.39990234375,102803.26
2025-09-16,GRASIM.NS,100000.0,2843.0,104292.64
2025-09-17,GRASIM.NS,100000.0,2865.39990234375,105114.36
2025-09-18,GRASIM.NS,100000.0,2878.800048828125,105605.93
2025-09-19,GRASIM.NS,100000.0,2877.89990234375,105572.91
2025-09-22,GRASIM.NS,100000.0,2854.10009765625,104699.83
2025-09-23,GRASIM.NS,100000.0,2813.5,103210.46
2025-09-24,GRASIM.NS,100000.0,2807.39990234375,102986.68
2025-09-25,GRASIM.NS,100000.0,2778.60009765625,101930.19
2025-09-26,GRASIM.NS,100000.0,2746.800048828125,100763.64
2025-09-29,GRASIM.NS,100000.0,2746.89990234375,100767.3
2025-09-30,GRASIM.NS,100000.0,2756.89990234375,101134.14
2025-10-01,GRASIM.NS,100000.0,2789.699951171875,102337.38
2025-10-03,GRASIM.NS,100000.0,2791.39990234375,102399.74
2025-10-06,GRASIM.NS,100000.0,2807.39990234375,102986.68
2025-10-07,GRASIM.NS,100000.0,2808.0,103008.7
2025-10-08,GRASIM.NS,100000.0,2778.199951171875,101915.51
2025-10-09,GRASIM.NS,100000.0,2810.60009765625,103104.08
2025-10-10,GRASIM.NS,100000.0,2811.0,103118.75
2025-10-13,GRASIM.NS,100000.0,2798.0,102641.86
2025-10-14,GRASIM.NS,100000.0,2775.800048828125,101827.47
2025-10-15,GRASIM.NS,100000.0,2816.800048828125,103331.52
2025-10-16,GRASIM.NS,101526.55,2859.800048828125,104908.93
2025-10-17,GRASIM.NS,100688.72,2836.199951171875,104043.19
2025-10-20,GRASIM.NS,101320.65,2854.0,104696.16
2025-10-21,GRASIM.NS,101913.52,2870.699951171875,105308.78
2025-10-23,GRASIM.NS,101696.96,2864.60009765625,105085.02
2025-10-24,GRASIM.NS,100869.78,2841.300048828125,104230.28
2025-10-27,GRASIM.NS,103802.18,2923.89990234375,107260.37
2025-10-28,GRASIM.NS,104121.69,2932.89990234375,107590.53
2025-10-29,GRASIM.NS,105037.63,2958.699951171875,108536.98
2025-10-30,GRASIM.NS,104742.97,2950.39990234375,108232.5
2025-10-31,GRASIM.NS,102659.04,2891.699951171875,106079.15
2025-11-03,GRASIM.NS,102950.15,2899.89990234375,106379.95
2025-11-04,GRASIM.NS,102314.68,2882.0,105723.31
2025-11-06,GRASIM.NS,95857.0,2700.10009765625,99050.5
2025-11-07,GRASIM.NS,96726.78,2724.60009765625,99949.25
2025-11-10,GRASIM.NS,96726.78,2762.89990234375,101354.25
2025-11-11,GRASIM.NS,96726.78,2775.800048828125,101827.47
2025-11-12,GRASIM.NS,96726.78,2767.39990234375,101519.32
2025-11-13,GRASIM.NS,96726.78,2777.800048828125,101900.84
2025-11-14,GRASIM.NS,96726.78,2783.39990234375,102106.27
2025-11-17,GRASIM.NS,96726.78,2790.300048828125,102359.39
2025-11-18,GRASIM.NS,96726.78,2762.0,101321.23
2025-11-19,GRASIM.NS,96726.78,2744.699951171875,100686.6
2025-11-20,GRASIM.NS,96726.78,2748.60009765625,100829.67
2025-11-21,GRASIM.NS,96726.78,2734.800048828125,100323.43
2025-11-24,GRASIM.NS,96726.78,2688.699951171875,98632.29
2025-11-25,GRASIM.NS,96726.78,2686.800048828125,98562.6
2025-11-26,GRASIM.NS,96726.78,2744.0,100660.92
2025-11-27,GRASIM.NS,96726.78,2740.0,100514.19
2025-11-28,GRASIM.NS,96726.78,2739.39990234375,100492.17
2025-12-01,GRASIM.NS,96726.78,2731.5,100202.37
2025-12-02,GRASIM.NS,96726.78,2735.0,100330.77
2025-12-03,GRASIM.NS,96726.78,2720.300048828125,99791.51
2025-12-04,GRASIM.NS,96726.78,2730.39990234375,100162.02
2025-12-05,GRASIM.NS,96726.78,2747.0,100770.97
2025-12-08,GRASIM.NS,96726.78,2744.199951171875,100668.26
2025-12-09,GRASIM.NS,96726.78,2746.0,100734.29
2025-12-10,GRASIM.NS,96726.78,2746.800048828125,100763.64
2025-12-11,GRASIM.NS,96726.78,2797.800048828125,102634.52
2025-12-12,GRASIM.NS,96726.78,2836.699951171875,104061.53
2025-12-15,GRASIM.NS,96726.78,2821.0,103485.59
2025-12-16,GRASIM.NS,96726.78,2799.10009765625,102682.21
2025-12-17,GRASIM.NS,96985.96,2806.60009765625,102957.34
2025-12-18,GRASIM.NS,97020.51,2807.60009765625,102994.03
2025-12-19,GRASIM.NS,97189.84,2812.5,103173.78
2025-12-22,GRASIM.NS,97093.08,2809.699951171875,103071.06
2025-12-23,GRASIM.NS,97787.66,2829.800048828125,103808.41
2025-12-24,GRASIM.NS,97687.44,2826.89990234375,103702.02
2025-12-26,GRASIM.NS,97369.53,2817.699951171875,103364.53
2025-12-29,GRASIM.NS,98223.07,2842.39990234375,104270.62
2025-12-30,GRASIM.NS,98198.88,2841.699951171875,104244.95
2025-12-31,GRASIM.NS,97760.02,2829.0,103779.06
2026-01-01,GRASIM.NS,98544.44,2851.699951171875,104611.79
2026-01-02,GRASIM.NS,98706.86,2856.39990234375,104784.2
2026-01-05,GRASIM.NS,98447.69,2848.89990234375,104509.07
2026-01-06,GRASIM.NS,99014.42,2865.300048828125,105110.69
2026-01-07,GRASIM.NS,98039.93,2837.10009765625,104076.21
2026-01-08,GRASIM.NS,96481.43,2792.0,102421.75
2026-01-09,GRASIM.NS,96481.43,2776.89990234375,101867.82
2026-01-12,GRASIM.NS,96481.43,2806.699951171875,102961.01
2026-01-13,GRASIM.NS,96481.43,2774.199951171875,101768.78
2026-01-14,GRASIM.NS,96481.43,2795.800048828125,102561.15
2026-01-15,GRASIM.NS,96481.43,2795.800048828125,102561.15
2026-01-16,GRASIM.NS,96481.43,2809.60009765625,103067.4
2026-01-19,GRASIM.NS,96481.43,2780.0,101981.55
2026-01-20,GRASIM.NS,96481.43,2713.60009765625,99545.73
