Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
2026-01-08,HDFCBANK.NS,Banking,929.3294156929511,937.4943598087852,926.083119844739,931.296875,21928849,-0.0025,1.97,0.21,969.8098876953125,975.4751831054688,,965.7805531082752,968.1765944324533,-8.476389034173394,-3.570163006297637,-4.906226027875757,20.085484937459142,28.535445461100778,8.153823718728626,8.501688997447035,-91.84617628127137,1000.4129941113457,969.8098876953125,939.2067812792792,6.31115578513217,13.40266986476365,-132707673,18957285.1,1,Weak Buy,Oversold
2026-01-09,HDFCBANK.NS,Banking,929.6245460388378,935.1334082207486,918.1148967937476,923.72216796875,38183839,-0.0081,-5.9,-0.63,966.7947570800782,974.1205883789063,,961.7749926187965,964.8836739536605,-10.718551236846793,-4.999840652407469,-5.718710584439323,22.620133578841894,26.24004259654552,7.797550013312553,7.000340114644132,-92.20244998668744,1002.6359208379791,966.7947570800782,930.9535933221772,7.414430724913893,13.660944262066321,-170891512,20274236.6,1,Weak Buy,Oversold
2026-01-12,HDFCBANK.NS,Banking,922.246544668881,926.6733280832916,914.4750564356341,921.7055053710938,21071666,-0.0022,-0.54,-0.06,963.6197692871094,972.9165026855469,,957.9588509761583,961.6852910956925,-12.51395566283577,-6.50266365449313,-6.0112920083426395,25.112338519125387,25.64849694108952,9.57034971883797,8.50724115029304,-90.42965028116203,1003.407777793437,963.6197692871094,923.8317607807818,8.258030765757947,13.556467646751406,-191963178,20728389.0,1,Weak Buy,Oversold
2026-01-13,HDFCBANK.NS,Banking,932.2806373194226,932.2806373194226,917.4262830054705,922.0989990234375,32042827,0.0004,-10.18,-1.09,960.7300659179688,971.9337573242187,,954.5436269806611,958.7529731644144,-13.746612563776011,-7.951453436349707,-5.795159127426304,26.666398248089738,25.999047138391333,10.091184856280668,9.153028196143723,-89.90881514371932,1003.6429417419598,960.7300659179688,917.8171900939777,8.933388752227335,13.649173837265737,-159920351,21841027.35,0,Neutral,Oversold
2026-01-14,HDFCBANK.NS,Banking,914.8685971701506,924.7550683892156,905.2280583696796,910.3926391601562,36688248,-0.0127,-4.48,-0.49,957.3435791015625,970.6116247558593,,950.3387709977559,955.170726201136,-15.489553514417935,-9.459073451963354,-6.030480062454581,28.62805820650725,22.58718553994389,6.090485825053199,8.584006800057269,-93.90951417494679,1004.6924392751317,957.3435791015625,909.9947189279932,9.891717290882074,14.069019278856468,-196608599,22672985.35,0,Neutral,Oversold
2026-01-15,HDFCBANK.NS,Banking,910.3926391601562,910.3926391601562,910.3926391601562,910.3926391601562,0,0.0,0.0,0.0,954.4637115478515,969.4350842285156,,946.5343774894131,951.8538308647671,-16.678586412904792,-10.902976044151643,-5.775610368753149,30.449599596466374,22.58718553994389,6.090485825053199,7.424052168795679,-93.90951417494679,1005.7174816482362,954.4637115478515,903.2099414474668,10.739804872679045,13.064089330366722,-196608599,21718939.25,0,Neutral,Oversold
2026-01-16,HDFCBANK.NS,Banking,906.9987674975428,920.7218085803552,904.2443363942556,915.95068359375,37780235,0.0061,8.95,0.99,952.0732482910156,968.3815087890625,,943.6216447374452,949.1943384743214,-16.976718769860895,-12.117724589293495,-4.8589941805674,30.838392202482,27.804125809805114,13.646745203355461,8.609238951153943,-86.35325479664453,1005.7710913618648,952.0732482910156,898.3754052201664,11.280191554008596,13.307902391490499,-158828364,22862330.8,0,Neutral,Oversold
2026-01-19,HDFCBANK.NS,Banking,920.6726328615482,920.9185652819042,904.5394420693568,912.8027954101562,38191942,-0.0034,-7.87,-0.85,949.2401092529296,967.3112121582031,,940.6865162300843,946.4986686177166,-17.267944958533576,-13.14776866314151,-4.120176295392065,31.17591055197796,26.706384346587157,9.977075473073358,9.90476883382733,-90.02292452692664,1004.9113470988366,949.2401092529296,893.5688714070227,11.729642964564842,13.527275307280275,-197020306,23474308.7,0,Neutral,Oversold
2026-01-20,HDFCBANK.NS,Banking,914.1799618930222,919.2953681382725,904.637772173591,916.049072265625,36022727,0.0036,1.87,0.2,946.4610717773437,966.2625561523438,,938.3400929953739,944.2431429620061,-17.040365671062887,-13.926288064725787,-3.1140776063370996,31.489320447938493,29.78510996109526,13.761442393955845,12.461754356794879,-86.23855760604415,1002.9275544728866,946.4610717773437,889.9945890818008,11.932129990197158,13.608012497094649,-160997579,24598424.5,0,Neutral,Oversold
2026-01-21,HDFCBANK.NS,Banking,909.9499161549952,916.9836070913005,900.6044845836736,905.3755493164062,32766854,-0.0117,-4.57,-0.5,942.7106018066406,964.8587731933594,,935.200612644996,941.364061951221,-17.519319733283396,-14.644894398437309,-2.8744253348460873,32.030872072685135,25.92862809811602,5.335502684949317,9.69134018399283,-94.66449731505068,999.62841723971,942.7106018066406,885.7927863735713,12.075352780374002,13.805948926418381,-193764433,25340374.75,0,Neutral,Oversold
