Date,Ticker,Strategy_Equity,Close,BuyHold_Equity
2026-05-13,EICHERMOT.NS,88459.1,6971.5,124989.32
2026-05-14,EICHERMOT.NS,89252.15,7034.0,126109.85
2026-05-15,EICHERMOT.NS,89004.72,7014.5,125760.25
2026-05-18,EICHERMOT.NS,87716.82,6913.0,123940.49
2026-05-19,EICHERMOT.NS,87716.82,6882.5,123393.67
2026-05-20,EICHERMOT.NS,87716.82,6849.5,122802.02
2026-05-21,EICHERMOT.NS,87716.82,6892.0,123563.99
2026-05-22,EICHERMOT.NS,87716.82,6981.5,125168.6
2026-05-25,EICHERMOT.NS,87716.82,7414.0,132922.73
2026-05-26,EICHERMOT.NS,87267.23,7376.0,132241.44
2026-05-27,EICHERMOT.NS,87775.97,7419.0,133012.37
2026-05-28,EICHERMOT.NS,87775.97,7419.0,133012.37
2026-05-29,EICHERMOT.NS,84912.81,7177.0,128673.65
2026-06-01,EICHERMOT.NS,84007.72,7100.5,127302.11
2026-06-02,EICHERMOT.NS,84492.8,7141.5,128037.18
2026-06-03,EICHERMOT.NS,84356.74,7130.0,127831.0
2026-06-04,EICHERMOT.NS,84120.12,7110.0,127472.43
2026-06-05,EICHERMOT.NS,83646.87,7070.0,126755.28
2026-06-08,EICHERMOT.NS,83646.87,7050.0,126396.71
2026-06-09,EICHERMOT.NS,83646.87,7203.0,129139.79
2026-06-10,EICHERMOT.NS,83646.87,7219.5,129435.61
2026-06-11,EICHERMOT.NS,83183.42,7179.5,128718.47
2026-06-12,EICHERMOT.NS,84718.6,7312.0,131094.01
2026-06-15,EICHERMOT.NS,88339.3,7624.5,136696.7
2026-06-16,EICHERMOT.NS,87597.78,7560.5,135549.27
2026-06-17,EICHERMOT.NS,87001.09,7509.0,134625.94
2026-06-18,EICHERMOT.NS,88067.02,7601.0,136275.38
2026-06-19,EICHERMOT.NS,88182.88,7611.0,136454.66
2026-06-22,EICHERMOT.NS,88513.09,7639.5,136965.63
2026-06-23,EICHERMOT.NS,87800.54,7578.0,135863.02
2026-06-24,EICHERMOT.NS,87731.02,7572.0,135755.45
2026-06-25,EICHERMOT.NS,88032.26,7598.0,136221.59
2026-06-26,EICHERMOT.NS,88032.26,7598.0,136221.59
2026-06-29,EICHERMOT.NS,86039.43,7426.0,133137.87
2026-06-30,EICHERMOT.NS,81955.28,7073.5,126818.03
2026-07-01,EICHERMOT.NS,81955.28,7139.0,127992.36
2026-07-02,EICHERMOT.NS,81955.28,7250.0,129982.43
2026-07-03,EICHERMOT.NS,81955.28,7339.5,131587.04
2026-07-06,EICHERMOT.NS,81955.28,7471.5,133953.62
2026-07-07,EICHERMOT.NS,81955.28,7536.0,135110.02
2026-07-08,EICHERMOT.NS,81955.28,7418.5,133003.4
2026-07-09,EICHERMOT.NS,81955.28,7361.0,131972.51
2026-07-10,EICHERMOT.NS,81955.28,7365.5,132053.19
2026-07-13,EICHERMOT.NS,81955.28,7296.5,130816.11
2026-07-14,EICHERMOT.NS,81955.28,7279.5,130511.33
2026-07-15,EICHERMOT.NS,81955.28,7404.5,132752.4
